Fill Time s,Injection Pressure (MPa),Holding Pressure MPa,Holding Time s,Total Pack s,Mould Temp C,Clamp Force Ton,Shot Weight,Mould SA,Mould Vol,Cavity SA,Cavity Vol,Melt Temp C,Mat Density,GF%,MMFR,Weight
2.0,140.0,-1.0,1.0,18.0,60.0,25.0,47.0,8.9513,5.30711,16.9258,8.25537,180.0,1.41,-1.0,8.6,8.676
2.0,160.0,-1.0,1.0,18.0,60.0,25.0,47.0,8.9513,5.30711,16.9258,8.25537,190.0,1.41,-1.0,8.6,8.599
2.0,160.0,104.0,1.0,18.0,90.0,50.0,47.0,8.9513,5.30711,16.9258,8.25537,190.0,1.41,-1.0,8.6,10.927
2.0,160.0,104.0,1.0,18.0,120.0,50.0,47.0,8.9513,5.30711,16.9258,8.25537,200.0,1.41,-1.0,8.6,10.896
2.0,180.0,117.0,1.0,18.0,120.0,75.0,47.0,8.9513,5.30711,16.9258,8.25537,200.0,1.41,-1.0,8.6,10.935
2.0,180.0,75.0,1.0,18.0,120.0,75.0,47.0,8.9513,5.30711,16.9258,8.25537,220.0,1.41,-1.0,8.6,10.776
3.0,160.0,-1.0,2.0,19.0,60.0,25.0,47.0,8.9513,5.30711,16.9258,8.25537,200.0,1.41,-1.0,8.6,6.961
3.0,160.0,-1.0,2.0,19.0,90.0,50.0,47.0,8.9513,5.30711,16.9258,8.25537,200.0,1.41,-1.0,8.6,8.49
3.0,180.0,-1.0,2.0,19.0,90.0,50.0,47.0,8.9513,5.30711,16.9258,8.25537,220.0,1.41,-1.0,8.6,8.36
3.0,180.0,96.634003,2.0,19.0,120.0,75.0,47.0,8.9513,5.30711,16.9258,8.25537,220.0,1.41,-1.0,8.6,10.936
4.0,140.0,-1.0,3.0,20.0,60.0,25.0,47.0,8.9513,5.30711,16.9258,8.25537,180.0,1.41,-1.0,8.6,5.674
4.0,160.0,-1.0,3.0,20.0,60.0,25.0,47.0,8.9513,5.30711,16.9258,8.25537,200.0,1.41,-1.0,8.6,7.038
4.0,160.0,-1.0,3.0,20.0,120.0,75.0,47.0,8.9513,5.30711,16.9258,8.25537,200.0,1.41,-1.0,8.6,8.37
4.0,180.0,110.0,3.0,20.0,120.0,75.0,47.0,8.9513,5.30711,16.9258,8.25537,220.0,1.41,-1.0,8.6,11.042
8.0,200.0,-1.0,3.0,20.0,100.0,150.0,47.0,8.9513,5.30711,16.9258,8.25537,220.0,1.41,-1.0,8.6,5.484
2.0,200.0,150.0,3.0,20.0,100.0,150.0,47.0,8.9513,5.30711,16.9258,8.25537,220.0,1.41,-1.0,8.6,11.329
2.0,175.0,-1.0,3.0,20.0,40.0,150.0,47.0,8.9513,5.30711,16.9258,8.25537,200.0,1.41,-1.0,8.6,8.577
3.0,160.0,-1.0,2.0,19.0,40.0,50.0,47.0,8.9513,5.30711,16.9258,8.25537,200.0,1.41,-1.0,8.6,7.037
